district,village,street,section,crossroad,death_toll,injured_toll,weather_desc,light_desc,road_type_desc,accident_location_desc,road_surface_condition_desc,road_surface_defect_desc,obstacle_desc,traffic_sign_desc,div_facility_desc,expressway_desc,expressway_slow_fast_lane_desc,road_side_line_desc,accident_type_and_form_desc,surveillance_tape
三民區,村,九如二路,,大連街,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌(附設行人專用號誌),無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
苓雅區,村,四維二路,,光華一路,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
前鎮區,村,中山四路,,鎮海路,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,Y
美濃區,村,中興路,1,中正路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,路口交岔撞,Y
阿蓮區,港後里,無名路,,無名路,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,路口交岔撞,Y
彌陀區,村,中正南路,,,1,0,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(附標記),快慢車道分隔線,有,撞橋樑、建築物,Y
三民區,村,中華二路,,中華橫巷,1,0,晴,日間自然光線,三岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,撞號誌、標誌桿,Y
仁武區,村,澄觀路,,仁林路,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,同向擦撞,Y
橋頭區,村,典昌路,,典昌街,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),禁止變換車道線(無標記),快慢車道分隔線,無,穿越道路中,Y
左營區,村,城峰路,,,1,0,雨,日間自然光線,直路,一般車道(未劃分快慢車道),濕潤,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,無,撞非固定設施,Y
鳳山區,,五甲二路,,五甲二路,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),未繪設快慢車道分隔線,無,路口交岔撞,Y
